instance,size,method,best_known,root_lower_bound,gap_percent,time_seconds,iterations,cuts,combformer_cut_percent
random_n1000_0,1000,CVRPSEP,96.919,71.894,25.820,3872.215,16,2468,
random_n1000_1,1000,CVRPSEP,116.843,82.424,29.457,3871.528,17,1968,
random_n1000_2,1000,CVRPSEP,133.485,93.677,29.822,3726.409,19,1936,
random_n1000_3,1000,CVRPSEP,144.043,98.574,31.566,3969.597,18,2228,
random_n1000_4,1000,CVRPSEP,107.729,78.742,26.907,3728.992,15,2192,
random_n1000_5,1000,CVRPSEP,126.458,87.492,30.813,3724.026,20,1926,
random_n1000_6,1000,CVRPSEP,96.491,73.405,23.925,3605.137,15,2579,
random_n1000_7,1000,CVRPSEP,91.085,68.494,24.802,3608.787,18,2305,
random_n1000_8,1000,CVRPSEP,140.082,96.910,30.819,3852.856,20,2204,
random_n1000_9,1000,CVRPSEP,119.511,81.922,31.452,3660.056,18,2141,
random_n50_0,50,CombFormer,8.763,8.540,2.544,8.502,1,1,
random_n50_1,50,CombFormer,10.014,9.931,0.835,2.493,4,5,
random_n50_2,50,CombFormer,8.379,8.318,0.731,2.736,5,2,
random_n50_3,50,CombFormer,9.373,9.085,3.073,3.278,6,7,
random_n50_4,50,CombFormer,9.961,9.734,2.277,4.059,10,2,
random_n50_5,50,CombFormer,8.378,8.284,1.123,3.961,11,24,
random_n50_6,50,CombFormer,9.940,9.736,2.050,2.963,5,0,
random_n50_7,50,CombFormer,7.915,7.757,1.993,3.029,6,2,
random_n50_8,50,CombFormer,9.201,8.998,2.208,3.770,7,43,
random_n50_9,50,CombFormer,10.533,10.358,1.659,2.276,3,2,
random_n100_0,100,CombFormer,18.171,17.132,5.719,15.177,21,31,
random_n100_1,100,CombFormer,13.468,12.737,5.426,14.426,21,27,
random_n100_2,100,CombFormer,15.204,14.280,6.077,11.826,18,29,
random_n100_3,100,CombFormer,15.063,14.401,4.397,12.885,18,7,
random_n100_4,100,CombFormer,16.335,15.530,4.924,12.170,16,27,
random_n100_5,100,CombFormer,17.098,16.339,4.439,28.028,35,52,
random_n100_6,100,CombFormer,16.451,15.536,5.561,18.655,25,50,
random_n100_7,100,CombFormer,16.996,16.245,4.417,14.136,18,33,
random_n100_8,100,CombFormer,13.225,12.638,4.434,16.892,23,20,
random_n100_9,100,CombFormer,12.604,12.083,4.133,12.523,17,42,
random_n200_0,200,CombFormer,29.900,27.762,7.148,304.500,92,50,
random_n200_1,200,CombFormer,24.719,23.000,6.955,176.670,51,62,
random_n200_2,200,CombFormer,30.969,28.645,7.506,178.038,60,44,
random_n200_3,200,CombFormer,27.026,25.043,7.339,198.490,75,44,
random_n200_4,200,CombFormer,29.146,26.828,7.954,297.658,81,45,
