instance,size,method,best_known,root_lower_bound,gap_percent,time_seconds,iterations,cuts,combformer_cut_percent
random_n1000_1,1000,CVRPSEP,116.843,72.021,38.361,1418.266,9,707,
random_n1000_2,1000,CVRPSEP,133.485,80.644,39.586,1333.481,9,591,
random_n1000_3,1000,CVRPSEP,144.043,86.704,39.807,1295.020,9,600,
random_n1000_4,1000,CVRPSEP,107.729,70.937,34.153,1284.717,9,512,
random_n1000_5,1000,CVRPSEP,126.458,74.588,41.018,1294.844,9,483,
random_n1000_6,1000,CVRPSEP,96.491,63.800,33.880,1546.639,9,951,
random_n1000_7,1000,CVRPSEP,91.085,60.246,33.857,1415.765,9,813,
random_n1000_8,1000,CVRPSEP,140.082,81.229,42.013,1298.313,9,479,
random_n1000_9,1000,CVRPSEP,119.511,71.850,39.880,1475.983,9,816,
random_n50_0,50,CombFormer,8.763,8.540,2.544,9.406,3,1,
random_n50_1,50,CombFormer,10.014,9.931,0.832,4.129,9,15,
random_n50_2,50,CombFormer,8.379,8.318,0.726,3.356,6,6,
random_n50_3,50,CombFormer,9.373,9.085,3.073,3.799,4,6,
random_n50_4,50,CombFormer,9.961,9.736,2.260,5.024,12,9,
random_n50_5,50,CombFormer,8.378,8.279,1.182,5.348,9,13,
random_n50_6,50,CombFormer,9.940,9.735,2.060,3.890,7,1,
random_n50_7,50,CombFormer,7.915,7.757,1.994,3.605,6,5,
random_n50_8,50,CombFormer,9.201,8.999,2.190,7.392,15,50,
random_n50_9,50,CombFormer,10.533,10.358,1.659,2.762,3,5,
random_n100_0,100,CombFormer,18.171,17.139,5.680,28.110,23,42,
random_n100_1,100,CombFormer,13.468,12.740,5.402,28.958,27,31,
random_n100_2,100,CombFormer,15.204,14.273,6.124,14.831,13,23,
random_n100_3,100,CombFormer,15.063,14.406,4.366,17.903,14,11,
random_n100_4,100,CombFormer,16.335,15.531,4.918,23.413,21,38,
random_n100_5,100,CombFormer,17.098,16.331,4.486,28.596,29,39,
random_n100_6,100,CombFormer,16.451,15.543,5.520,26.099,20,49,
random_n100_7,100,CombFormer,16.996,16.252,4.378,23.180,21,27,
random_n100_8,100,CombFormer,13.225,12.628,4.509,13.175,10,12,
random_n100_9,100,CombFormer,12.604,12.080,4.157,18.997,20,48,
random_n200_0,200,CombFormer,29.900,27.758,7.163,397.229,62,50,
random_n200_1,200,CombFormer,24.719,22.999,6.960,363.577,63,51,
random_n200_2,200,CombFormer,30.969,28.641,7.518,319.163,47,43,
random_n200_3,200,CombFormer,27.026,25.041,7.348,330.781,66,33,
random_n200_4,200,CombFormer,29.146,26.824,7.965,452.042,56,56,
random_n200_5,200,CombFormer,26.028,24.009,7.759,403.503,69,48,
random_n200_6,200,CombFormer,27.079,25.325,6.480,354.012,39,39,
random_n200_7,200,CombFormer,32.821,30.533,6.969,452.011,39,53,
random_n200_8,200,CombFormer,25.719,23.708,7.821,392.908,61,19,
random_n200_9,200,CombFormer,29.710,27.547,7.281,438.835,59,42,
random_n300_0,300,CombFormer,37.806,33.007,12.694,872.633,39,1608,
random_n300_1,300,CombFormer,36.801,31.932,13.230,894.490,39,1617,
random_n300_2,300,CombFormer,33.280,29.911,10.121,948.333,39,906,
random_n300_3,300,CombFormer,39.352,34.073,13.414,969.031,39,1662,
random_n300_4,300,CombFormer,32.455,29.910,7.842,2058.887,143,3609,
random_n300_5,300,CombFormer,41.980,36.327,13.466,987.869,38,1664,
random_n300_6,300,CombFormer,31.730,28.976,8.678,846.461,39,185,
random_n300_7,300,CombFormer,44.472,38.699,12.982,981.146,39,2472,
random_n300_8,300,CombFormer,31.665,28.260,10.753,1021.473,39,1084,
random_n300_9,300,CombFormer,35.455,31.757,10.429,1224.843,70,2163,
random_n400_0,400,CombFormer,52.383,40.302,23.062,921.074,19,755,
random_n400_1,400,CombFormer,40.003,33.650,15.881,2414.247,19,684,
random_n400_2,400,CombFormer,54.356,40.162,26.113,561.816,19,791,
random_n400_3,400,CombFormer,59.843,45.446,24.059,496.552,19,715,
random_n400_4,400,CombFormer,45.250,34.987,22.679,420.030,19,601,
random_n400_5,400,CombFormer,49.547,38.878,21.534,883.444,19,768,
random_n400_6,400,CombFormer,65.010,47.950,26.241,450.269,19,651,
random_n400_7,400,CombFormer,59.862,44.456,25.735,490.314,19,755,
random_n400_8,400,CombFormer,43.522,35.172,19.185,660.913,19,641,
random_n400_9,400,CombFormer,40.116,33.288,17.019,902.045,19,629,
random_n500_0,500,CombFormer,59.594,43.330,27.292,867.372,19,750,
random_n500_1,500,CombFormer,64.499,45.140,30.014,719.964,19,798,
random_n500_2,500,CombFormer,70.217,48.349,31.143,728.754,19,853,
random_n500_3,500,CombFormer,79.740,57.467,27.932,655.720,19,690,
random_n500_4,500,CombFormer,60.374,44.256,26.696,794.826,19,665,
random_n500_5,500,CombFormer,57.346,42.223,26.371,754.919,19,600,
random_n500_6,500,CombFormer,74.685,53.690,28.111,718.154,19,784,
random_n500_7,500,CombFormer,62.643,46.440,25.865,1158.511,19,720,
random_n500_8,500,CombFormer,68.466,50.423,26.354,1013.414,19,719,
random_n500_9,500,CombFormer,77.768,56.567,27.261,736.887,19,725,
random_n750_0,750,CombFormer,73.568,52.934,28.048,823.039,9,320,
random_n750_1,750,CombFormer,73.775,51.466,30.239,819.013,9,334,
random_n750_2,750,CombFormer,91.964,57.977,36.957,825.962,9,300,
random_n750_3,750,CombFormer,72.794,51.230,29.623,811.113,9,347,
random_n750_4,750,CombFormer,101.702,67.153,33.971,769.613,9,304,
random_n750_5,750,CombFormer,71.475,50.822,28.895,719.391,9,244,
random_n750_6,750,CombFormer,92.878,57.711,37.864,776.081,9,307,
random_n750_7,750,CombFormer,82.851,53.441,35.497,746.524,9,332,
random_n750_8,750,CombFormer,96.849,59.416,38.652,739.207,9,309,
random_n750_9,750,CombFormer,80.027,51.724,35.367,761.990,9,264,
random_n1000_0,1000,CombFormer,96.919,64.114,33.848,1657.896,9,274,
random_n1000_1,1000,CombFormer,116.843,71.979,38.397,1816.066,9,328,
random_n1000_2,1000,CombFormer,133.485,81.018,39.305,1820.985,9,377,
random_n1000_3,1000,CombFormer,144.043,86.887,39.680,1913.955,9,407,
random_n1000_4,1000,CombFormer,107.729,71.109,33.992,1864.737,9,289,
random_n1000_5,1000,CombFormer,126.458,74.692,40.936,1764.799,9,302,
random_n1000_6,1000,CombFormer,96.491,64.088,33.581,1875.983,9,370,
